Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,svd,12288,0.002,5,5,1.0,0.9918885843511057,12.715622090756977,0.0,0.0,,0.0
5,svd,13927,0.003,5,5,1.0,0.9861327500033238,16.430960369793674,0.45012558356732263,0.75,1,1.0
5,svd,14947,0.003,5,5,1.0,0.9810060951158126,16.492566681438525,0.18764390825234828,0.3333333333333333,3,0.3333333333333333
5,svd,16581,0.002,5,5,1.0,0.992443437501281,13.15015721397125,0.0,0.0,,0.0
5,svd,18115,0.003,5,5,1.0,0.9554771277161085,13.127355000150859,0.0,0.0,,0.0
5,svd,18192,0.003,5,5,1.0,0.9953457950774264,14.00028381172028,0.0,0.0,,0.0
5,svd,18204,0.003,5,5,1.0,1.0,11.923592416536797,0.0,0.0,,0.0
5,svd,18675,0.003,5,5,1.0,0.9836029155279142,11.069607253646886,0.0,0.0,,0.0
5,svd,18758,0.003,5,5,1.0,0.9651607914020831,14.81189012336513,0.0,0.0,,0.0
5,svd,19178,0.003,5,5,1.0,0.92705110751109,14.861636927867066,0.0,0.0,,0.0
5,svd,19414,0.003,5,5,1.0,0.992128090724946,12.619354058148824,0.0,0.0,,0.0
5,svd,19800,0.007,5,5,1.0,0.9976939977103352,14.9964252465794,0.0,0.0,,0.0
5,svd,21401,0.003,5,5,1.0,0.9877495145517466,16.14629864883037,0.0,0.0,,0.0
5,svd,22245,0.003,5,5,1.0,0.956431444823906,13.519227460399792,0.10611901985066782,0.125,8,0.125
5,svd,22352,0.002,5,5,1.0,0.9538827165312888,15.592693279187555,0.17669483270790845,0.17261904761904762,4,0.25
5,svd,22483,0.002,5,5,1.0,0.9911560973014166,14.673592416536797,0.337734642330806,1.0,1,1.0
5,svd,23068,0.002,5,5,1.0,0.9534302738163035,12.365495493007945,0.0,0.0,,0.0
5,svd,23638,0.002,5,5,1.0,0.9569124086063512,11.10426897461019,0.0,0.0,,0.0
5,svd,24112,0.002,5,5,1.0,1.0,7.9425360652163075,0.0,0.0,,0.0
5,svd,26022,0.002,5,5,1.0,0.960820312809477,13.961763525616098,0.0,0.0,,0.0
5,lucene,52437,0.073,5,5,1.0,0.9976203268568917,14.531086967542706,0.0,0.0,,0.0
5,svd,27142,0.002,5,5,1.0,0.9599415491175431,15.211763525616098,0.06794483782721705,0.04,25,0.04
5,svd,27579,0.002,5,5,1.0,1.0,15.281086967542706,0.14780455785954166,0.0757142857142857,14,0.07142857142857142
5,svd,28176,0.002,5,5,1.0,0.9865621431655185,16.092693279187557,0.0,0.0,,0.0
